Food,	Calories,	Weight,	Protein,	Carbohydrates,	Sugars,	Dates	
Bread,	80,	,	4,	15,	0,	2018-04-09
Chocolate,	155,	,	2,	17,	16,	2018-04-09
Soda,	170,	,	0,	0,	43,	2018-04-09
Soda,	170,	,	0,	0,	43,	2018-04-09
Apple,	80,	,	0,	22,	16,	2018-04-09
Bread,	80,	,	4,	15,	0,	2018-04-10
Protein Powder,	120,	,	24,	3,	4,	2018-04-10
Donut,	310,	,	4,	32,	11,	2018-04-08
Bread,	80,	,	4,	15,	0,	2018-04-10
Apple,	80,	,	0,	22,	16,	2018-04-10
Apple,	80,	,	0,	22,	16,	2018-04-10
Chips,	150,	,	2,	14,	1,	2018-04-10
Rice (1 cup),	200,	,	12,	140,	0,	2018-04-10
Bread,	80,	,	4,	15,	0,	2018-04-12
Apple,	80,	,	0,	22,	16,	2018-04-11
Bread,	80,	180,	3,	4,	4,	2018-04-12
Apple,	80,	180,	3,	3,	3,	2018-04-12
Chips,	150,	180,	4,	5,	3,	2018-04-12
Chips,	150,	180,	4,	5,	3,	2018-04-12
Soda,	150,	180,	4,	5,	3,	2018-04-12
Chocolate,	150,	180,	4,	5,	3,	2018-04-13
Chicken,	150,	180,	4,	5,	3,	2018-04-13
